candidate_id,rank,score,reasoning
CAND_0077337,1,0.756700,"7-year Staff Machine Learning Engineer at Paytm with hands-on with embedding, vector, qdrant; strong Python (expert); production ML deployment experience."
CAND_0088025,2,0.755950,"9-year Staff Machine Learning Engineer at Yellow.ai with hands-on with embedding, vector, pinecone; strong Python (expert); verified Pinecone score 94/100. Concerns: 90-day notice period."
CAND_0018499,3,0.753350,"7-year Senior Machine Learning Engineer at Zomato with hands-on with embedding, vector, faiss; production ML deployment experience; tier-1 institution (Massachusetts Institute of Technology)."
CAND_0071974,4,0.732000,"8-year Senior AI Engineer at Netflix with hands-on with embedding, qdrant, pinecone; production ML deployment experience; tier-1 institution (NIT Warangal)."
CAND_0070398,5,0.716900,"7-year Machine Learning Engineer at Genpact AI with hands-on with embedding, vector, faiss; strong Python (expert); production ML deployment experience. Concerns: 120-day notice period."
CAND_0062247,6,0.701950,"7-year AI Engineer at Google with hands-on with embedding, vector, faiss; tier-1 institution (IIT Bombay)."
CAND_0008425,7,0.701200,"8-year Senior NLP Engineer at Ola with hands-on with embedding, vector, qdrant; strong Python (expert); production ML deployment experience. Concerns: 90-day notice period."
CAND_0046064,8,0.696900,"9-year Senior NLP Engineer at Salesforce with hands-on with embedding, vector, faiss; strong Python (expert); production ML deployment experience."
CAND_0033861,9,0.696350,"8-year Senior NLP Engineer at Mad Street Den with hands-on with embedding, vector, qdrant; production ML deployment experience; tier-1 institution (IIT Madras). Concerns: last active 115 days ago; not marked open to work."
CAND_0044855,10,0.682700,"7-year Senior Data Scientist at Flipkart with hands-on with embedding, vector, faiss; verified BentoML score 80/100. Concerns: not marked open to work."
CAND_0046525,11,0.678850,"6-year Senior Machine Learning Engineer at Genpact AI with hands-on with embedding, vector, faiss; tier-1 institution (IIT Hyderabad); verified LangChain score 96/100."
CAND_0007009,12,0.676500,"8-year Recommendation Systems Engineer at Wysa with hands-on with embedding, faiss, pinecone; strong Python (expert)."
CAND_0094759,13,0.674750,"9-year Lead AI Engineer at Meta with hands-on with embedding, vector, faiss; verified Prompt Engineering score 81/100. Concerns: last active 154 days ago; not marked open to work."
